type,post_count,text_len_chars,text_len_words,n_urls,n_q,n_excl,n_nonascii_chars,frac_ascii_chars
ISTP,50,5222,775,12,25,0,0,1.0
ENTJ,50,6829,1165,5,4,10,0,1.0
ESFJ,25,2218,365,0,8,0,0,1.0
INTJ,24,2867,481,1,6,0,0,1.0
INTP,50,9493,1617,0,12,10,0,1.0
INTP,50,7435,1251,5,24,21,2,0.9997310020174849
INTJ,50,6350,1096,1,14,7,0,1.0
INFJ,50,5824,948,1,12,25,0,1.0
INFJ,48,8131,1418,0,16,17,0,1.0
INFP,50,6001,1020,1,3,8,0,1.0
INFP,50,8802,1606,3,4,6,0,1.0
INFP,50,9365,1757,0,5,8,33,0.996476241324079
INFP,50,7841,1370,0,11,19,0,1.0
INFP,50,8134,1369,0,7,10,0,1.0
INFP,50,7680,1278,7,8,3,0,1.0
ENFP,50,7737,1412,2,15,52,1,0.9998707509370557
INTP,50,7478,1221,9,17,12,0,1.0
ENFP,47,8084,1437,1,8,39,0,1.0
INFP,50,4140,672,0,4,43,0,1.0
INFJ,50,8462,1524,1,5,13,0,1.0
INFJ,50,8893,1508,3,6,184,0,1.0
INFJ,50,5733,1109,1,8,1,0,1.0
INFP,52,8618,1511,0,7,23,6,0.9993037827802275
INFP,50,8802,1490,3,10,2,1,0.9998863894569416
INFP,50,6473,1178,6,6,2,0,1.0
INFJ,50,8349,1404,7,15,16,2,0.9997604503533357
INFP,50,5962,1053,1,9,16,0,1.0
ENFP,38,5278,876,2,8,9,0,1.0
INTJ,50,5574,601,27,22,8,1,0.9998205956225332
INFJ,50,7592,1352,0,33,74,0,1.0
INFP,49,9604,1751,1,7,4,0,1.0
INTP,50,8905,1649,0,16,4,0,1.0
INFJ,50,9214,1623,0,3,0,3,0.999674408508791
ISTP,50,6259,979,10,22,0,0,1.0
ENFP,50,7856,1359,1,11,26,0,1.0
INTP,50,9318,1648,1,4,1,0,1.0
INFJ,50,9288,1546,2,11,1,0,1.0
ENFJ,38,5265,932,0,8,14,0,1.0
INFP,50,8447,1477,0,4,6,14,0.9983426068426661
ISTJ,50,8973,1550,1,12,9,0,1.0
ISTJ,47,7974,1438,0,9,1,0,1.0
ENTJ,50,4887,735,14,28,9,3,0.9993861264579497
INTP,50,5589,867,7,12,14,0,1.0
INFJ,50,7566,1313,0,13,0,0,1.0
INTJ,50,4501,592,15,13,0,0,1.0
ENFP,44,8204,1483,0,8,7,1,0.999878108239883
INTP,50,5098,764,7,14,11,0,1.0
ENFP,25,3784,632,5,4,5,0,1.0
INFJ,50,8844,1557,6,16,7,2,0.9997738579828132
INFP,50,9265,1623,1,5,0,0,1.0
ENTP,50,8970,1564,0,7,6,0,1.0
INTP,50,4423,573,13,11,1,0,1.0
ENFP,50,8620,1428,1,11,2,0,1.0
INFJ,50,9699,1617,4,1,7,0,1.0
INTP,20,3065,517,1,8,1,0,1.0
INFJ,50,3783,603,1,10,13,0,1.0
INFJ,50,7591,1373,2,13,32,0,1.0
INTJ,50,7144,1213,1,8,1,0,1.0
ENTJ,50,7774,1224,2,16,3,0,1.0
INTP,50,7754,1244,4,6,0,0,1.0
ISTP,50,5887,1005,6,23,0,0,1.0
ISFP,50,5566,927,0,4,0,0,1.0
INFP,50,7816,1391,4,9,23,0,1.0
ESTP,50,7598,1355,2,15,1,0,1.0
INTP,50,5614,931,3,25,7,0,1.0
ISTP,50,8005,1357,0,16,4,0,1.0
INFP,50,6227,746,21,13,20,0,1.0
ENTP,50,6026,956,5,9,3,5,0.9991702621971457
INFP,50,9358,1739,0,4,0,0,1.0
INFJ,50,8841,1514,0,7,0,0,1.0
ENTJ,50,6710,1171,0,7,0,0,1.0
ENFP,50,7055,1221,2,8,2,0,1.0
ESTP,50,7558,1308,2,8,16,0,1.0
INTP,50,8574,1488,0,13,5,0,1.0
INFJ,50,6848,1212,4,14,0,0,1.0
INFP,50,8368,1449,1,2,2,0,1.0
INFJ,44,4396,683,3,10,6,0,1.0
INFJ,50,5834,897,14,3,17,3,0.999485773054508
INTP,50,7651,1269,0,3,3,0,1.0
INTJ,50,4389,725,0,4,29,0,1.0
ISTP,50,8631,1594,0,10,1,0,1.0
INFP,47,6396,1009,7,12,33,0,1.0
ISFP,47,5927,1039,2,8,2,0,1.0
INTP,50,5352,733,12,27,6,0,1.0
INFJ,50,9720,1811,0,1,6,0,1.0
INFP,50,7461,1261,0,3,8,0,1.0
INFP,50,8680,1514,2,7,43,0,1.0
ISFJ,36,6675,1177,2,10,16,0,1.0
INTP,21,3251,571,0,9,10,0,1.0
ISFJ,50,8628,1544,0,7,13,0,1.0
INFP,50,6634,1046,8,18,0,1,0.9998492613807658
ENTP,58,4382,641,5,20,4,0,1.0
INFJ,50,4632,799,2,16,6,1,0.9997841105354058
ENTJ,50,8359,1417,1,14,3,1,0.9998803684651274
INFJ,50,8982,1573,1,6,7,0,1.0
INTJ,50,9713,1666,2,1,3,0,1.0
INFP,50,6836,1153,3,12,3,0,1.0
ENFP,50,8501,1546,0,13,4,0,1.0
ENTP,50,6450,1075,8,13,0,0,1.0
ENFJ,50,8725,1564,2,9,24,0,1.0
ENFP,50,6995,1115,8,17,8,0,1.0
INFJ,50,6650,989,13,37,0,0,1.0
ISFJ,50,8018,1358,1,7,7,0,1.0
INTP,50,6185,1012,2,6,4,0,1.0
ENTP,50,7098,1184,0,6,2,1,0.9998591152437306
ISTP,50,8143,1502,1,10,4,0,1.0
INTJ,50,5814,916,1,7,2,0,1.0
INTJ,50,6865,1132,3,4,0,1,0.9998543335761108
INFP,50,8202,1426,3,10,7,0,1.0
INTJ,47,8378,1412,0,7,7,5,0.9994031988541417
INTJ,50,9018,1627,2,2,3,0,1.0
INFJ,50,8740,1453,6,14,14,0,1.0
ISFP,50,6482,1144,0,16,5,0,1.0
ENTJ,50,8749,1507,4,16,8,0,1.0
INFP,47,7520,1318,0,11,3,0,1.0
INFP,50,8000,1348,6,16,5,0,1.0
INTJ,45,7085,1216,1,4,6,0,1.0
ENFJ,50,6653,1160,1,9,23,0,1.0
INTJ,50,5892,871,16,3,2,0,1.0
ENFP,50,6730,1182,1,29,22,2,0.999702823179792
ENFJ,49,8504,1458,0,17,64,0,1.0
INFJ,50,7090,1171,6,10,1,0,1.0
INFP,50,4142,658,1,1,26,0,1.0
ENFJ,50,7067,1103,4,14,2,0,1.0
INTJ,50,8406,1493,0,6,0,0,1.0
INTJ,47,5106,796,1,9,6,0,1.0
INFP,70,7274,1257,0,5,0,0,1.0
ISFP,46,7236,1174,4,10,6,0,1.0
INTP,50,5779,870,5,5,4,2,0.9996539193632116
ISTP,50,5109,889,1,15,1,0,1.0
INFJ,50,9158,1587,0,10,21,2,0.9997816117056125
ENTJ,50,6630,1174,0,13,10,0,1.0
INTJ,50,5164,796,15,2,9,6,0.9988381099922541
INTP,50,8217,1432,0,28,2,3,0.9996349032493611
ESTJ,50,9445,1649,0,10,2,0,1.0
INFJ,50,5002,863,1,9,2,0,1.0
ENFP,38,3940,675,5,10,6,0,1.0
INTP,50,8755,1526,1,2,3,0,1.0
INTJ,50,8848,1558,0,2,2,0,1.0
ESTP,50,8640,1455,4,10,3,0,1.0
INFJ,50,7791,1296,8,9,4,0,1.0
INFP,50,10003,1819,0,3,4,0,1.0
INTP,50,7666,1364,0,9,11,0,1.0
ENFP,50,8308,1493,1,5,13,0,1.0
INFP,50,6787,1200,1,8,1,0,1.0
INFP,50,9009,1611,0,11,12,2,0.9997779997779997
INFP,50,2621,371,0,11,28,2,0.9992369324685234
INFP,50,7022,1211,0,16,0,0,1.0
INTP,50,9099,1522,0,10,2,0,1.0
ENFP,50,7503,1163,10,10,0,0,1.0
INFP,50,7830,1351,6,14,0,0,1.0
ENTP,50,8629,1480,0,5,3,0,1.0
ENTP,50,8532,1478,0,12,2,0,1.0
INFJ,50,9779,1712,0,6,17,0,1.0
INTP,50,7121,1213,2,3,3,0,1.0
INFJ,50,8319,1435,1,7,3,0,1.0
INFJ,50,7900,1359,4,13,0,0,1.0
INFJ,50,9029,1561,0,9,1,0,1.0
INFP,50,7690,1249,11,16,12,1,0.9998699609882965
INFP,50,6840,1215,1,2,25,0,1.0
INTP,50,9676,1609,1,8,6,0,1.0
ENTP,50,9122,1542,0,19,3,0,1.0
ISTP,50,4638,744,11,15,3,0,1.0
ENTP,31,2382,404,0,10,0,0,1.0
ENTP,50,6451,992,7,13,0,0,1.0
INTP,50,5044,766,6,21,1,0,1.0
INFJ,50,7221,1257,3,25,24,0,1.0
INTP,40,5592,975,1,12,5,0,1.0
INFJ,50,9633,1691,2,12,0,0,1.0
INTJ,21,3570,596,3,3,0,0,1.0
ENTJ,50,6941,1228,0,40,0,0,1.0
ENTJ,50,8661,1474,2,13,3,0,1.0
INTJ,50,4390,671,5,13,5,6,0.9986332574031891
ENFP,50,8435,1411,6,12,5,2,0.9997628927089508
ENFP,50,9369,1697,0,11,14,3,0.9996797950688441
ENFP,50,9595,1667,0,6,53,0,1.0
INFP,50,4445,518,16,25,2,0,1.0
INFP,50,8741,1553,1,3,13,0,1.0
INFJ,50,5807,942,4,6,5,0,1.0
INTJ,41,6740,1163,2,14,7,1,0.9998516320474777
ENTP,50,7145,1161,7,11,4,0,1.0
INTJ,50,7934,1407,1,17,20,0,1.0
INFP,50,7690,1258,7,13,3,0,1.0
ISTP,50,6531,1078,2,16,12,0,1.0
INTJ,50,6142,1055,0,11,0,1,0.9998371865841745
ENFP,50,8058,1352,1,13,15,0,1.0
ISFP,50,8905,1591,0,1,2,0,1.0
INTP,50,6439,1060,3,13,8,0,1.0
INFJ,43,5422,1054,0,7,4,0,1.0
ENTP,50,8073,1332,0,14,5,0,1.0
ISFJ,50,2542,321,4,5,12,0,1.0
ENFJ,50,3946,390,21,19,22,0,1.0
ISFJ,50,8090,1476,0,2,2,0,1.0
ISFP,50,5601,951,4,6,14,0,1.0
INTP,34,6264,1035,0,5,2,2,0.9996807151979565
ENTP,50,8732,1457,0,12,4,0,1.0
INFJ,50,7281,1175,1,6,25,0,1.0
ESTP,50,9931,1782,1,8,1,0,1.0
INFJ,50,8931,1496,0,2,1,0,1.0
INTP,50,8287,1251,6,15,2,1,0.9998793290696272
INTJ,50,7511,1189,6,13,2,0,1.0
ENTP,50,6934,1252,2,6,0,0,1.0
ISTJ,50,9024,1506,5,9,0,0,1.0
ENFP,50,8600,1636,0,4,8,0,1.0
INTJ,50,7455,1305,0,24,0,0,1.0
INFJ,50,8080,1418,0,7,4,0,1.0
INFP,50,8849,1641,0,11,1,0,1.0
INFP,50,7774,1395,1,6,4,0,1.0
INTP,50,6116,961,10,20,6,0,1.0
INFJ,50,7523,1251,1,12,2,0,1.0
INFJ,50,8482,1392,2,10,19,0,1.0
ENFP,50,6211,962,14,23,22,0,1.0
INFJ,50,6963,1202,2,17,1,6,0.999138302455838
INTJ,19,2864,493,0,0,0,0,1.0
INTP,50,8655,1511,0,15,0,0,1.0
INTJ,50,5827,938,2,10,2,0,1.0
ENFP,50,9279,1645,0,14,1,0,1.0
INTP,50,4267,685,7,14,1,26,0.9939067260370283
ENFP,50,7123,1215,1,14,40,0,1.0
ISFJ,50,8680,1522,1,14,5,2,0.9997695852534563
INFP,60,7024,1161,5,9,13,1,0.9998576309794989
ISFJ,50,9316,1644,3,4,2,2,0.9997853155860884
ENFJ,50,7464,1225,7,10,12,0,1.0
INFP,50,7793,1317,4,13,10,0,1.0
ESTJ,50,8743,1533,1,11,4,0,1.0
ESTP,50,8112,1406,0,10,0,0,1.0
ENTJ,50,9494,1615,2,11,5,0,1.0
ENTP,50,6395,1098,0,9,1,0,1.0
INFJ,50,8566,1529,1,5,8,0,1.0
ESFJ,50,6164,1021,4,13,4,0,1.0
INFJ,50,7623,1310,2,6,1,1,0.9998688180506362
INFJ,50,8403,1514,0,6,5,0,1.0
ENFP,48,9426,1645,0,6,13,0,1.0
ENTP,50,6909,1172,0,4,4,0,1.0
INTP,50,6303,1110,0,1,0,0,1.0
INFP,50,3392,503,6,5,4,0,1.0
INTP,50,6350,965,4,13,2,1,0.9998425196850393
ENTP,50,9125,1512,1,8,3,2,0.9997808219178083
INFJ,50,6895,1135,1,9,27,0,1.0
INFP,38,6864,1213,1,5,6,1,0.9998543123543123
INTP,50,8208,1462,1,10,12,0,1.0
ENTP,50,8036,1331,7,23,3,0,1.0
INFJ,50,6119,905,5,12,30,0,1.0
INFP,50,8588,1452,3,10,9,4,0.999534233814625
ENFJ,50,8494,1449,0,3,3,0,1.0
INFP,50,7513,1339,0,12,6,2,0.9997337947557567
INTP,50,7369,1241,0,4,16,0,1.0
INTP,50,4294,626,4,11,3,0,1.0
ENFP,50,8503,1424,3,15,42,20,0.9976478889803598
INFP,50,5761,828,12,21,3,0,1.0
ENTP,50,6510,1173,2,7,5,0,1.0
ENFP,22,2538,409,3,9,28,0,1.0
ENFJ,50,8304,1529,0,25,11,0,1.0
INFJ,50,7276,1288,3,4,21,0,1.0
ENFP,50,9569,1815,0,8,8,0,1.0
ENFP,50,9012,1715,0,3,4,0,1.0
ENFP,50,9622,1686,0,10,12,0,1.0
ENFP,50,9264,1691,0,12,8,0,1.0
ENFP,50,7606,1261,1,16,19,0,1.0
ENFP,42,5841,1035,1,4,14,0,1.0
ENFP,50,8104,1434,0,15,25,0,1.0
ENFP,50,8037,1418,0,11,38,0,1.0
ENTP,50,7944,1371,0,5,9,0,1.0
INFJ,50,6644,1080,0,22,35,0,1.0
ENFJ,50,7943,1338,1,7,14,0,1.0
ESTP,50,5656,951,3,15,14,0,1.0
INFJ,50,2598,137,10,5,0,5,0.9980754426481909
INTP,33,3372,568,0,3,1,0,1.0
INFP,50,9588,1576,1,4,0,6,0.9993742177722152
ENFP,50,9286,1637,2,23,0,0,1.0
INFP,50,5601,798,16,25,3,0,1.0
INFP,50,6426,1084,3,5,3,0,1.0
INTP,50,6499,1048,1,5,2,0,1.0
ENTJ,50,8466,1415,3,19,17,0,1.0
ENTP,36,4989,838,0,8,12,0,1.0
ENTP,50,7031,1205,1,4,3,0,1.0
ENTP,50,8112,1389,0,13,4,0,1.0
ENTP,50,8483,1536,0,7,8,2,0.9997642343510551
ENTP,50,7523,1281,1,15,23,0,1.0
ENTP,50,7674,1329,0,17,15,0,1.0
ENTP,50,6740,1138,0,16,1,0,1.0
ENTP,50,8338,1408,1,9,0,6,0.9992804029743344
ENTP,50,8245,1387,1,10,7,0,1.0
ENTP,50,6835,1216,0,4,6,2,0.9997073884418435
ENTP,50,7226,1250,1,9,4,3,0.9995848325491281
INTJ,50,8051,1336,3,15,2,0,1.0
ENTP,37,5315,884,7,14,4,1,0.9998118532455316
INFJ,50,6683,1066,9,14,13,0,1.0
INFP,50,5830,813,19,26,3,2,0.9996569468267581
INFJ,50,8188,1408,0,15,1,0,1.0
INFP,50,7577,1128,19,30,2,0,1.0
INFP,50,8777,1570,2,6,1,1,0.9998860658539365
INFP,50,9779,1652,0,9,0,0,1.0
ENTJ,50,9146,1602,0,4,23,2,0.999781325169473
INFP,50,7854,1113,18,16,4,1,0.9998726763432646
INTJ,50,9100,1483,3,21,1,0,1.0
ISFP,50,8644,1465,4,6,8,0,1.0
INTP,50,7602,1234,5,18,4,0,1.0
ISTP,50,6722,1142,0,5,3,0,1.0
INFJ,50,7947,1393,0,25,3,0,1.0
INTP,50,7835,1379,1,1,12,6,0.999234205488194
ENTP,50,6516,976,16,28,5,0,1.0
ESTJ,50,8418,1412,2,13,1,0,1.0
INFJ,37,4999,815,3,13,4,0,1.0
INTP,50,7283,1263,2,28,46,0,1.0
INTJ,50,5161,829,0,8,4,0,1.0
INTP,50,7561,1306,0,15,4,0,1.0
INTJ,50,6269,1062,1,24,2,0,1.0
INFJ,50,6684,1018,14,20,3,1,0.9998503889886295
ENFJ,50,4596,764,3,6,1,2,0.9995648389904265
INFP,50,7131,1271,0,6,8,3,0.9995793016407236
ISTP,50,8352,1388,2,6,2,0,1.0
INTP,46,7545,1313,0,6,0,0,1.0
INTJ,50,5165,753,7,11,2,0,1.0
INTP,50,9198,1498,1,7,3,19,0.9979343335507719
INTJ,50,9334,1684,0,6,1,0,1.0
ENFP,50,7842,1345,2,16,15,0,1.0
INTP,18,2693,468,0,2,0,0,1.0
INTJ,50,8271,1463,0,6,2,0,1.0
ENTP,28,3489,570,3,10,2,0,1.0
INTJ,50,9214,1664,0,2,5,0,1.0
INFP,50,7882,1426,0,16,12,0,1.0
INTP,50,8272,1154,16,8,0,1,0.9998791102514507
INFP,50,9243,1610,0,8,1,0,1.0
INFP,50,7291,1261,0,14,41,0,1.0
INTP,50,8027,1340,0,17,0,0,1.0
INFP,50,6760,1135,0,15,9,0,1.0
INTP,50,8524,1298,24,5,4,13,0.9984748944157672
INTP,50,7903,1287,2,17,7,0,1.0
ISFJ,50,7165,1330,4,26,25,0,1.0
ENTP,50,5143,885,1,9,5,0,1.0
INTP,50,8926,1356,0,16,0,0,1.0
INFP,50,7716,1366,0,1,0,0,1.0
ENFP,50,9577,1701,0,9,9,0,1.0
INFP,50,7577,1243,5,13,1,0,1.0
ENTP,50,5889,962,2,5,0,0,1.0
INFP,50,8548,1516,0,16,21,7,0.9991810949929808
INTJ,50,7614,1274,1,4,3,0,1.0
INFP,50,7972,1365,3,18,1,0,1.0
INFJ,12,820,72,3,0,0,0,1.0
INTP,50,6993,1256,0,16,12,0,1.0
INFP,50,6399,1035,4,12,7,0,1.0
ISTP,50,8629,1453,5,13,0,0,1.0
ENFP,50,8864,1466,0,15,3,0,1.0
INFJ,45,5401,887,4,9,1,0,1.0
INTJ,50,6202,1048,2,11,1,24,0.9961302805546598
INFP,50,8461,1504,0,14,19,6,0.9992908639640704
INFP,50,8706,1604,0,4,19,0,1.0
ENFJ,50,8547,1405,16,22,7,0,1.0
INTJ,50,7977,1312,4,12,3,2,0.9997492791776357
INFP,50,6391,965,11,5,1,0,1.0
INFJ,50,7561,1262,2,16,26,0,1.0
INFP,50,6571,1117,1,7,3,1,0.9998478161619236
INFJ,50,9668,1581,14,14,14,2,0.9997931319817956
INTP,50,7454,1316,3,10,3,1,0.9998658438422323
INFP,50,7237,1239,1,5,22,0,1.0
ENTP,50,6473,1085,1,31,19,0,1.0
ENFP,50,8900,1568,0,7,5,0,1.0
ISTP,50,7670,1243,14,16,17,1,0.9998696219035202
INTP,50,4531,464,17,16,2,0,1.0
INFP,50,8357,1500,3,4,16,2,0.9997606796697379
ISFP,50,7104,1278,0,14,24,0,1.0
INTP,50,7758,1303,1,11,29,0,1.0
INTJ,50,8088,1354,0,21,0,0,1.0
INFJ,50,8212,1375,1,7,14,0,1.0
ENTP,50,9092,1643,1,5,1,0,1.0
INTP,50,5385,535,21,37,1,0,1.0
INFJ,50,6355,1016,4,19,2,0,1.0
INFJ,50,8641,1383,6,16,4,0,1.0
ENFP,50,7275,1271,2,8,6,1,0.9998625429553265
INFP,50,6586,948,15,24,4,0,1.0
INFP,50,8750,1511,4,18,1,0,1.0
INTJ,50,8855,1551,0,25,11,8,0.9990965556182948
INTP,50,5064,842,2,14,8,0,1.0
INFP,46,5039,816,3,9,3,2,0.9996030958523516
ENTP,50,4243,678,5,14,8,0,1.0
INFP,50,4679,755,0,4,18,0,1.0
INFJ,50,8244,1391,2,4,4,0,1.0
INFP,45,5744,933,0,3,0,0,1.0
ENTJ,50,8192,1378,2,33,0,0,1.0
INTJ,50,7494,1217,3,13,5,0,1.0
INTP,40,4110,685,0,6,5,0,1.0
INFP,50,8071,1387,4,10,5,0,1.0
ENFP,50,8237,1485,0,9,7,0,1.0
ENFJ,50,3617,397,16,5,3,0,1.0
ENTP,50,8204,1419,9,6,35,0,1.0
INFP,50,8201,1433,0,3,21,0,1.0
INTJ,50,7221,1143,6,14,2,1,0.9998615150256197
INFJ,50,8545,1423,0,7,14,0,1.0
ESFJ,50,4640,785,0,3,24,0,1.0
ENTP,50,7697,1334,4,12,0,0,1.0
INFJ,50,8021,1414,2,7,9,0,1.0
ENTP,50,7865,1312,3,10,4,0,1.0
INTP,50,7396,1289,0,3,15,0,1.0
INTJ,50,5607,841,12,22,0,0,1.0
INFJ,50,8414,1539,0,11,20,0,1.0
ENTP,39,5151,836,7,6,7,0,1.0
INTJ,50,8182,1366,2,10,2,0,1.0
INTP,50,8255,1421,1,9,23,0,1.0
INTJ,50,9643,1590,0,4,2,0,1.0
INTP,50,7726,1206,5,21,7,0,1.0
ENTP,50,6827,1175,1,13,3,0,1.0
ENTP,50,7305,1170,5,14,5,0,1.0
INFP,50,7868,1335,4,9,5,0,1.0
INTJ,50,8125,1341,1,5,1,0,1.0
ISFJ,50,8217,1432,1,9,26,0,1.0
INTJ,50,8308,1475,1,12,8,0,1.0
INTJ,50,5298,826,6,9,7,0,1.0
ENTJ,50,6697,1062,5,13,10,0,1.0
INFJ,50,6721,1096,6,19,6,0,1.0
INFJ,50,6952,1081,5,13,7,0,1.0
ISTP,26,3440,557,2,11,16,0,1.0
ESTP,50,8967,1523,1,14,6,0,1.0
INFJ,50,8070,1355,7,11,1,0,1.0
ISTP,50,6656,1084,8,16,9,0,1.0
ISFP,50,5473,914,3,5,23,0,1.0
INFP,50,7816,1231,18,22,2,0,1.0
INFJ,50,7950,1224,13,8,13,0,1.0
ENFP,50,8052,1359,2,14,36,0,1.0
INFP,50,9830,1711,3,3,1,0,1.0
INFJ,50,7243,1249,0,8,8,0,1.0
INFJ,50,4493,322,11,21,0,0,1.0
INTJ,50,8568,1465,1,12,1,0,1.0
ENFP,50,7871,1226,9,12,4,3,0.9996188540210901
INFP,50,9172,1685,0,2,9,0,1.0
INFP,50,9735,1751,1,5,16,6,0.9993836671802774
INFP,50,7684,1319,3,2,4,0,1.0
ENFP,50,10042,1881,0,10,6,0,1.0
INFP,50,6673,994,18,23,0,0,1.0
INFP,43,7628,1319,0,16,3,0,1.0
ISTP,50,6288,1005,7,13,2,1,0.9998409669211196
INFJ,50,7862,1290,8,13,9,0,1.0
INTJ,50,8731,1198,22,18,3,1,0.9998854655824075
INTJ,50,7048,865,24,12,9,1,0.9998581157775256
ESTP,50,9161,1731,1,5,2,0,1.0
INFJ,50,7113,1215,10,12,1,1,0.9998594123435962
INFP,50,9252,1668,0,3,4,0,1.0
ISTP,50,9414,1663,0,16,10,0,1.0
ENFP,50,8799,1510,2,17,6,0,1.0
INTJ,50,8023,1354,3,13,4,0,1.0
INFJ,50,9484,1588,2,10,2,0,1.0
INTJ,50,5333,662,21,30,2,0,1.0
ISTP,50,7377,1264,1,20,1,0,1.0
INTJ,50,8227,1399,0,24,0,0,1.0
ENFP,50,6500,1118,1,22,12,1,0.9998461538461538
INFP,50,7019,1163,12,15,3,1,0.9998575295626158
ENTP,50,7905,1336,2,12,2,0,1.0
INFJ,50,2676,335,12,8,3,1,0.999626307922272
INTJ,50,7737,1316,4,10,5,0,1.0
INFJ,50,7737,832,31,3,6,0,1.0
ESTP,50,3743,559,7,10,4,0,1.0
ESFP,50,5782,925,5,8,7,1,0.9998270494638534
INFJ,50,9967,1760,0,6,5,1,0.9998996689073945
INTP,50,6702,1048,1,12,0,0,1.0
INTJ,50,6382,1107,0,18,0,8,0.9987464744594171
ENFJ,50,8728,1525,3,10,5,0,1.0
INFJ,50,8773,1503,1,11,5,3,0.9996580417189103
INFJ,38,6420,1137,1,3,12,0,1.0
INFP,50,8165,1356,3,11,4,3,0.9996325780771586
ENTP,50,7206,1242,0,10,9,0,1.0
INFP,50,8678,1470,4,11,6,0,1.0
INFP,50,7454,1359,0,9,25,1,0.9998658438422323
ISFP,50,4982,425,22,9,8,8,0.9983942191890807
INTJ,50,8950,1492,2,10,1,0,1.0
INTP,50,8756,1540,0,10,1,0,1.0
ISFP,50,5219,761,6,20,10,1,0.9998083924123395
ISTP,50,7643,1237,2,9,0,0,1.0
INFJ,50,8367,1378,6,5,16,0,1.0
ENFP,50,9418,1621,0,2,3,2,0.9997876406880442
INFJ,50,7092,1167,3,3,0,0,1.0
INTP,50,8994,1543,3,27,1,0,1.0
INTP,50,9266,1536,2,3,1,0,1.0
INTP,50,6146,1044,0,13,5,12,0.9980475105759844
ISTP,50,4825,746,8,2,0,2,0.9995854922279793
INFJ,50,7403,1289,1,5,7,0,1.0
ENTP,50,7820,1261,2,12,8,3,0.9996163682864451
INTJ,50,7082,1172,0,7,2,0,1.0
ISTP,50,6798,1201,0,4,0,0,1.0
INFJ,50,8958,1446,1,12,7,9,0.9989953114534494
INFP,50,6739,1046,16,11,1,0,1.0
INTJ,50,8998,1559,1,28,4,0,1.0
ENTP,50,6836,1177,0,12,0,0,1.0
INFJ,50,9141,1651,0,4,2,0,1.0
INTJ,50,9435,1654,0,4,0,7,0.9992580816110228
INTP,50,6462,918,8,17,1,0,1.0
INFP,50,6871,1200,3,8,10,0,1.0
ENFP,18,3110,547,0,3,6,0,1.0
INFJ,50,9293,1720,0,7,1,0,1.0
ENTP,50,9245,1643,2,13,17,1,0.9998918334234721
INFJ,50,7215,1210,0,7,0,5,0.9993069993069993
INFJ,50,5266,903,1,9,5,0,1.0
ENFJ,50,9812,1731,2,3,0,0,1.0
ENTJ,50,2710,352,7,0,0,2,0.9992619926199262
ENFP,46,7634,1271,4,9,7,0,1.0
ENFJ,50,4545,736,1,5,1,0,1.0
ESFP,20,2552,398,3,10,0,0,1.0
ISTP,50,7185,1245,3,5,0,0,1.0
INTJ,50,5846,986,0,7,3,0,1.0
INFJ,50,6777,1190,0,12,4,0,1.0
INFJ,49,8199,1491,0,15,6,0,1.0
INTP,50,7518,1263,1,7,1,0,1.0
INFJ,50,8618,1512,0,11,11,0,1.0
INTP,50,6271,921,16,22,7,0,1.0
INTP,50,6745,1190,2,40,20,0,1.0
INFJ,50,8405,1474,2,9,0,0,1.0
ISFP,56,7384,1186,8,11,9,3,0.999593716143012
INFJ,50,9241,1568,0,4,4,0,1.0
INTP,50,6183,1011,4,9,2,0,1.0
INFJ,50,7479,1305,5,8,28,0,1.0
INFJ,50,6820,1080,11,15,1,0,1.0
INTJ,50,9347,1660,0,2,6,0,1.0
INTP,50,6620,1134,0,18,1,0,1.0
INTP,50,6546,1106,0,4,0,0,1.0
ENFP,35,6260,1071,2,6,7,0,1.0
INTJ,50,8880,1653,1,2,1,0,1.0
ISTJ,50,8005,1387,0,17,1,0,1.0
INFP,50,5594,666,25,36,0,6,0.9989274222381123
INTP,50,8674,1562,0,6,5,0,1.0
INTJ,50,9647,1643,0,3,0,0,1.0
ENFP,50,9478,1674,0,11,0,0,1.0
INFJ,50,7082,1043,23,23,4,0,1.0
INTP,50,8265,1437,0,8,9,0,1.0
INFP,50,7013,1232,1,11,1,0,1.0
INTJ,50,6726,1193,1,20,17,19,0.9971751412429378
INTP,50,7568,1289,5,11,0,1,0.9998678646934461
INTP,50,8035,1364,2,5,6,0,1.0
INTP,50,8496,1480,0,8,9,0,1.0
INFJ,50,5208,788,8,10,2,0,1.0
INFP,50,5973,947,8,14,1,0,1.0
INTP,50,8393,1368,0,8,5,0,1.0
INFJ,50,8414,1429,4,8,24,0,1.0
INFP,50,6714,1115,2,11,2,0,1.0
INFJ,50,8778,1652,0,4,16,0,1.0
INFJ,50,6753,1210,0,6,7,0,1.0
ENFP,50,7499,958,22,10,16,1,0.9998666488865182
INFJ,50,8418,1500,4,16,5,0,1.0
ISTJ,50,9316,1637,0,1,6,0,1.0
ISFP,50,6532,1116,1,10,0,0,1.0
INFP,50,5467,879,7,14,7,0,1.0
ISFP,50,7436,1373,0,5,54,1,0.9998655190962883
INFP,50,8800,1382,15,11,0,0,1.0
INFJ,50,8023,1364,5,12,0,2,0.9997507166895176
INFJ,63,6851,1120,0,16,6,2,0.9997080718143336
ENTP,36,4474,828,1,9,23,0,1.0
INTJ,50,6746,1124,2,20,0,0,1.0
